time,wx,wy,wz
12.60521411895752,-0.26,0.44,-0.46
12.621945142745972,-0.3,0.24,-0.45
12.624648094177246,-0.35,-0.03,-0.44
12.63254714012146,-0.41,-0.28,-0.49
12.642490148544312,-0.44,-0.42,-0.54
12.652408123016357,-0.49,-0.42,-0.56
12.662374019622803,-0.55,-0.27,-0.54
12.672258138656616,-0.57,-0.04,-0.52
12.68227219581604,-0.57,0.26,-0.53
12.692310333251953,-0.59,0.47,-0.57
12.70256519317627,-0.64,0.49,-0.61
12.722478151321411,-0.84,-0.02,-0.66
12.724335193634033,-0.84,-0.02,-0.66
12.731703281402588,-0.89,-0.23,-0.65
12.741774082183838,-0.92,-0.3,-0.64
12.751618146896362,-0.98,-0.28,-0.66
12.761644124984741,-1.07,-0.18,-0.71
12.771581172943115,-1.12,-0.07,-0.77
12.781527042388916,-1.12,0.02,-0.81
12.79168701171875,-1.14,0.03,-0.83
12.801597118377686,-1.17,0.01,-0.86
12.821104049682617,-1.19,-0.06,-0.88
12.823573112487793,-1.19,-0.06,-0.88
12.831067085266113,-1.21,-0.04,-0.91
12.840962171554565,-1.25,-0.06,-0.93
12.85077714920044,-1.29,-0.13,-0.89
12.860870122909546,-1.25,-0.22,-0.86
12.87086009979248,-1.14,-0.23,-0.88
12.88111925125122,-1.06,-0.19,-0.93
12.890710353851318,-0.95,-0.15,-0.93
12.900808334350586,-0.8,-0.16,-0.88
12.91212511062622,-0.6,-0.18,-0.77
12.9306640625,-0.15,-0.28,-0.49
12.932267189025879,-0.15,-0.28,-0.49
12.940160274505615,0.06,-0.39,-0.32
12.95021915435791,0.22,-0.52,-0.12
12.96009612083435,0.36,-0.57,0.09
12.970440149307251,0.46,-0.44,0.28
12.980144023895264,0.56,-0.15,0.43
12.989972114562988,0.68,0.19,0.56
13.001209259033203,0.83,0.37,0.69
13.009923219680786,1.0,0.27,0.82
13.029889106750488,1.26,-0.28,0.95
13.031504154205322,1.26,-0.28,0.95
13.039399147033691,1.27,-0.24,0.92
13.049607276916504,1.17,0.07,0.93
13.059704303741455,1.16,0.36,0.96
13.069284200668335,1.26,0.47,1.0
13.079379081726074,1.33,0.35,1.03
13.089229106903076,1.35,0.0,1.1
13.099409103393555,1.33,-0.44,1.18
13.109257221221924,1.32,-0.79,1.19
13.127992153167725,1.26,-0.95,1.14
13.13067102432251,1.15,-0.84,1.13
13.138803005218506,1.1,-0.51,1.21
13.148951053619385,1.06,0.06,1.31
13.158557176589966,1.06,0.81,1.38
13.16863203048706,1.09,1.43,1.31
13.17862606048584,1.1,1.67,1.13
13.188375234603882,1.02,1.41,0.9
13.198630332946777,0.82,0.7,0.75
13.20833420753479,0.57,-0.23,0.77
13.226324081420898,0.45,-0.99,0.94
13.229079246520996,0.5,-1.34,1.01
